time,latitud,longitud,RRR24_Valor,Traza_Valor,CodigoNacional,nombreEstacion
2013-03-09 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-10 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-11 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-12 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-13 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-14 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-15 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-16 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-17 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-18 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-19 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-20 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-21 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-22 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-23 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-24 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-25 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-26 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-27 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-28 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-29 12:00:00,-31.18805,-70.99889,,,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-30 12:00:00,-31.18805,-70.99889,,,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-03-31 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-01 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-02 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-03 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-04 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-05 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-06 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-07 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-08 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-09 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-10 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-11 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-12 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-13 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-14 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-15 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-16 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-17 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-18 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-19 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-20 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-21 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-22 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-23 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-24 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-25 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-26 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-27 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-28 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-29 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-04-30 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-01 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-02 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-03 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-04 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-05 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-06 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-07 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-08 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-09 12:00:00,-31.18805,-70.99889,,,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-10 12:00:00,-31.18805,-70.99889,,,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-11 12:00:00,-31.18805,-70.99889,,,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-12 12:00:00,-31.18805,-70.99889,,,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-13 12:00:00,-31.18805,-70.99889,,,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-14 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-15 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-16 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-17 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-18 12:00:00,-31.18805,-70.99889,37.2,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-19 12:00:00,-31.18805,-70.99889,0.2,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-20 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-21 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-22 12:00:00,-31.18805,-70.99889,,,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-23 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-24 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-25 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-26 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-27 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-28 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-29 12:00:00,-31.18805,-70.99889,4.7,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-30 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-05-31 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-01 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-02 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-03 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-04 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-05 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-06 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-07 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-08 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-09 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-10 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-11 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-12 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-13 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-14 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-15 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-16 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-17 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-18 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-19 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-20 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-21 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-22 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-23 12:00:00,-31.18805,-70.99889,1.5,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-24 12:00:00,-31.18805,-70.99889,0.7,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-25 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-26 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-27 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-28 12:00:00,-31.18805,-70.99889,7.5,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-29 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-06-30 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-01 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-02 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-03 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-04 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-05 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-06 12:00:00,-31.18805,-70.99889,0.2,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-07 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-08 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-09 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-10 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-11 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-12 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-13 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-14 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-15 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-16 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-17 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-18 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-19 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-20 12:00:00,-31.18805,-70.99889,5.2,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-21 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-22 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-23 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-24 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-25 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-26 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-27 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-28 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-29 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-30 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-07-31 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-01 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-02 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-03 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-04 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-05 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-06 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-07 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-08 12:00:00,-31.18805,-70.99889,2.1,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-09 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-10 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-11 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-12 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-13 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-14 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-15 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-16 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-17 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-18 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-19 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-20 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-21 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-22 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-23 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-24 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-25 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-26 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-27 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-28 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-29 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-30 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-08-31 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-01 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-02 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-03 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-04 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-05 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-06 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-07 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-08 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-09 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-10 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-11 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-12 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-13 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-14 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-15 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-16 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-17 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-18 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-19 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-20 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-21 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-22 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-23 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-24 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-25 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-26 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-27 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-28 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-29 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-09-30 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-01 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-02 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-03 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-04 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-05 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-06 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-07 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-08 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-09 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-10 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-11 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-12 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-13 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-14 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-15 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-16 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-17 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-18 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-19 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-20 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-21 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-22 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
2013-10-23 12:00:00,-31.18805,-70.99889,0.0,0.0,310024.0,Liceo Samuel Román Rojas (Combarbalá)
